Method,OOD Detector,AUC,FPR95,ACC_ALL,ACC_ID,ACC_OOD,ACC_HM
zsclip_txt,msp,0.978027975,0.1161,0.8557,0.7979,0.9543,0.8691199292318228
zsclip_txt,maxlogit,0.944194825,0.3854499999999998,0.8557,0.6736,0.989,0.8013838566101288
zsclip_txt,energy,0.903718635,0.808225,0.8557,0.5807,0.9948,0.7333295588702
tpt_txt,maxlogit,0.94420579,0.385,0.8473,0.6648,0.9896,0.7953168278529981
rosita_v2_txt,maxlogit_plthresh07,0.95606364,0.331,0.8512,0.7387,0.9871,0.8450234905551048
rosita_v1_txt,maxlogit_plthresh07,0.95049891,0.3252,0.8459,0.7236,0.9937,0.8374090956734409
rosita_v12_txt,maxlogit_plthresh07,0.950413975,0.3415,0.8518,0.7212,0.9924,0.8353394957983192
rosita_v12_simclr_txt,maxlogit_plthresh07,0.950163515,0.3596,0.85,0.7091,0.9925,0.8271999882463563
rosita_v12_pl_txt,maxlogit_plthresh07,0.93654959,0.4752,0.8594,0.6621,0.9877,0.7927702388168264
rosita_v11_txt,maxlogit_plthresh07,0.95178103,0.3163,0.8463,0.7285,0.9936,0.8406452586957784
rosita_v10_txt,maxlogit_plthresh07,0.94856987,0.3677,0.8503,0.7135,0.9925,0.8301861078546309
rosita_v10_pl_txt,maxlogit_plthresh07,0.939403255,0.4389,0.8581,0.6649,0.9894,0.7953237744060931
rosita_v0_txt,maxlogit_plthresh07,0.94995106,0.3469,0.8515,0.7185,0.9922,0.833454959957912
rosita_v0_txt,maxlogit_plthresh00,0.950413975,0.3415,0.8518,0.7212,0.9924,0.8353394957983192
promptalign_txt,maxlogit,0.94420579,0.385,0.8553,0.6728,0.9896,0.8010140519730511
promptalign_aug_txt,maxlogit,0.94420579,0.385,0.8558,0.6733,0.9896,0.8013683083769318
ft_pl_txt,msp_plthresh07,0.972234495,0.1588,0.8597,0.804,0.9346,0.8643948004141264
ft_pl_txt,maxlogit_plthresh07,0.93680222,0.4678,0.8591,0.6623,0.9879,0.7929780269058296
ft_pl_neg_proto_bank_v4_txt,maxlogit_plthresh07,0.950267085,0.3444,0.8522,0.7207,0.9927,0.8351101785922728
ft_pl_neg_proto_bank_v3_txt,msp_plthresh07,0.952626155,0.2972,0.8551,0.7917,0.8965,0.8408471152707025
ft_pl_neg_proto_bank_v3_txt,maxlogit_plthresh07,0.9630540200000002,0.2383,0.8482,0.7591,0.9955,0.8613747292830276
ft_pl_neg_proto_bank_v2_txt,msp_plthresh07,0.952898405,0.2916,0.854,0.79,0.9032,0.8428159697613986
ft_pl_neg_proto_bank_v2_txt,maxlogit_plthresh07,0.962120135,0.2468,0.8471,0.7566,0.9953,0.8596883155431246
ft_pl_neg_proto_bank_v0_txt,msp_plthresh07,0.967191915,0.2,0.8595,0.8039,0.9231,0.8593863231036479
ft_pl_neg_proto_bank_v0_txt,maxlogit_plthresh07,0.929643485,0.5049,0.8582,0.6676,0.9691,0.7905800207735078
